,keep as it is,Same as attendeefk,,Just write the name I will convert to id,keep it as it is,,optional,optional,keep it as it is,keep it as it is,keep it as it is,"1 = done, -1 cancelled",
date_created,date_updated,created_by,candidatefk,attendeefk,type,date_meeting,location,description,date_reminder1,date_reminder2,reminder_update,meeting_done,date_met
2009/05/28 15:37,NULL,276,250918,276,1,2009/05/28 15:37,,Assessed in person,NULL,NULL,NULL,1,2009/05/28 15:37
2012/10/01 14:02,NULL,321,249066,321,1,2012/10/01 14:02,,Assessed in person,NULL,NULL,NULL,1,2012/10/01 14:02
2012/07/23 17:09,NULL,382,247771,99,1,2012/07/23 17:09,,Assessed in person,NULL,NULL,NULL,1,2012/07/23 17:09
2008/08/08 16:48,NULL,102,247588,102,1,2008/08/08 16:48,,Assessed in person,NULL,NULL,NULL,1,2008/08/08 16:48
2008/07/30 10:11,NULL,276,243743,276,1,2008/07/30 10:11,,Assessed in person,NULL,NULL,NULL,1,2008/07/30 10:11
2008/07/08 15:13,NULL,333,237729,333,1,2008/07/08 15:13,,Assessed in person,NULL,NULL,NULL,1,2008/07/08 15:13
2008/07/10 19:01,NULL,333,237486,333,1,2008/07/10 19:01,,Assessed in person,NULL,NULL,NULL,1,2008/07/10 19:01
2009/05/25 19:52,NULL,354,237158,354,1,2009/05/25 19:52,,Assessed in person,NULL,NULL,NULL,1,2009/05/25 19:52
2008/07/11 16:24,NULL,273,234357,99,1,2008/07/11 16:24,,Assessed in person,NULL,NULL,NULL,1,2008/07/11 16:24
2009/10/21 14:31,NULL,354,233529,354,1,2009/10/21 14:31,,Assessed in person,NULL,NULL,NULL,1,2009/10/21 14:31
2008/06/24 22:34,NULL,295,233225,295,1,2008/06/24 22:34,,Phone assessed,NULL,NULL,NULL,1,2008/06/24 22:34
2008/06/18 15:07,NULL,69,232226,333,1,2008/06/18 15:07,,Assessed in person,NULL,NULL,NULL,1,2008/06/18 15:07
2008/06/18 10:55,NULL,354,231819,354,1,2008/06/18 10:55,,Assessed in person,NULL,NULL,NULL,1,2008/06/18 10:55
2010/03/11 16:47,NULL,348,229840,348,1,2010/03/11 16:47,,Assessed in person,NULL,NULL,NULL,1,2010/03/11 16:47
2008/06/18 11:08,NULL,74,228202,270,1,2008/06/18 11:08,,Assessed in person,NULL,NULL,NULL,1,2008/06/18 11:08
2008/06/10 18:59,NULL,295,225994,295,1,2008/06/10 18:59,,Assessed in person,NULL,NULL,NULL,1,2008/06/10 18:59
2008/05/08 20:03,NULL,362,225390,362,1,2008/05/08 20:03,,Assessed in person,NULL,NULL,NULL,1,2008/05/08 20:03
2008/06/02 14:08,NULL,187,221838,126,1,2008/06/02 14:08,,Assessed in person,NULL,NULL,NULL,1,2008/06/02 14:08
2011/11/09 19:08,NULL,314,221287,314,1,2011/11/09 19:08,,Assessed in person,NULL,NULL,NULL,1,2011/11/09 19:08
2008/04/16 20:10,NULL,333,221076,333,1,2008/04/16 20:10,,Assessed in person,NULL,NULL,NULL,1,2008/04/16 20:10
2008/08/28 12:09,NULL,269,220203,269,1,2008/08/28 12:09,,Assessed in person,NULL,NULL,NULL,1,2008/08/28 12:09
2008/04/08 20:05,NULL,155,219542,281,1,2008/04/08 20:05,,Assessed in person,NULL,NULL,NULL,1,2008/04/08 20:05
2008/04/11 21:02,NULL,354,218986,354,1,2008/04/11 21:02,,Assessed in person,NULL,NULL,NULL,1,2008/04/11 21:02
2008/10/06 12:15,NULL,362,218357,362,1,2008/10/06 12:15,,Assessed in person,NULL,NULL,NULL,1,2008/10/06 12:15
2009/12/08 10:44,NULL,354,218287,276,1,2009/12/08 10:44,,Assessed in person,NULL,NULL,NULL,1,2009/12/08 10:44
2008/03/28 21:40,NULL,333,217795,333,1,2008/03/28 21:40,,Assessed in person,NULL,NULL,NULL,1,2008/03/28 21:40
2008/09/12 12:15,NULL,126,216603,271,1,2008/09/12 12:15,,Assessed in person,NULL,NULL,NULL,1,2008/09/12 12:15
2008/03/19 18:37,NULL,276,216505,276,1,2008/03/19 18:37,,Assessed in person,NULL,NULL,NULL,1,2008/03/19 18:37
2008/04/01 15:13,NULL,332,215100,271,1,2008/04/01 15:13,,Assessed in person,NULL,NULL,NULL,1,2008/04/01 15:13
2008/03/22 13:32,NULL,333,214782,333,1,2008/03/22 13:32,,Assessed in person,NULL,NULL,NULL,1,2008/03/22 13:32
2008/03/11 18:22,NULL,102,214486,102,1,2008/03/11 18:22,,Assessed in person,NULL,NULL,NULL,1,2008/03/11 18:22
2008/05/14 20:16,NULL,69,213318,325,1,2008/05/14 20:16,,Assessed in person,NULL,NULL,NULL,1,2008/05/14 20:16
2008/03/24 20:04,NULL,105,212921,103,1,2008/03/24 20:04,,Assessed in person,NULL,NULL,NULL,1,2008/03/24 20:04
2010/02/09 16:27,NULL,99,212166,99,1,2010/02/09 16:27,,Assessed in person,NULL,NULL,NULL,1,2010/02/09 16:27
2008/04/07 14:43,NULL,137,211260,285,1,2008/04/07 14:43,,Assessed in person,NULL,NULL,NULL,1,2008/04/07 14:43
2008/02/26 15:03,NULL,333,211106,333,1,2008/02/26 15:03,,Assessed in person,NULL,NULL,NULL,1,2008/02/26 15:03
2008/02/06 21:06,NULL,69,208559,333,1,2008/02/06 21:06,,Assessed in person,NULL,NULL,NULL,1,2008/02/06 21:06
2008/02/13 15:08,NULL,333,208354,333,1,2008/02/13 15:08,,Assessed in person,NULL,NULL,NULL,1,2008/02/13 15:08
2008/09/11 17:56,NULL,363,208023,363,1,2008/09/11 17:56,,Assessed in person,NULL,NULL,NULL,1,2008/09/11 17:56
2009/01/15 19:17,NULL,362,207031,362,1,2009/01/15 19:17,,Assessed in person,NULL,NULL,NULL,1,2009/01/15 19:17
2008/02/29 19:00,NULL,264,206963,264,1,2008/02/29 19:00,,Assessed in person,NULL,NULL,NULL,1,2008/02/29 19:00
2008/02/19 18:55,NULL,137,205147,333,1,2008/02/19 18:55,,Assessed in person,NULL,NULL,NULL,1,2008/02/19 18:55
2008/06/04 17:46,NULL,326,204594,326,1,2008/06/04 17:46,,Assessed in person,NULL,NULL,NULL,1,2008/06/04 17:46
2007/12/04 10:55,NULL,276,195150,276,1,2007/12/04 10:55,,Assessed in person,NULL,NULL,NULL,1,2007/12/04 10:55
2007/11/28 16:37,NULL,276,194826,276,1,2007/11/28 16:37,,Assessed in person,NULL,NULL,NULL,1,2007/11/28 16:37
2013/12/02 13:32,NULL,382,193280,99,1,2013/12/02 13:32,,Phone assessed,NULL,NULL,NULL,1,2013/12/02 13:32
2007/11/21 20:23,NULL,333,191476,333,1,2007/11/21 20:23,,Assessed in person,NULL,NULL,NULL,1,2007/11/21 20:23
2009/09/01 11:36,NULL,264,190961,264,1,2009/09/01 11:36,,Assessed in person,NULL,NULL,NULL,1,2009/09/01 11:36
2007/11/19 18:08,NULL,155,189905,99,1,2007/11/19 18:08,,Phone assessed,NULL,NULL,NULL,1,2007/11/19 18:08
2007/11/13 22:08,NULL,333,188036,333,1,2007/11/13 22:08,,Assessed in person,NULL,NULL,NULL,1,2007/11/13 22:08
2007/11/08 14:41,NULL,348,185164,84,1,2007/11/08 14:41,,Assessed in person,NULL,NULL,NULL,1,2007/11/08 14:41
2007/11/09 20:53,NULL,348,183779,84,1,2007/11/09 20:53,,Assessed in person,NULL,NULL,NULL,1,2007/11/09 20:53
2007/11/08 11:51,NULL,362,183185,362,1,2007/11/08 11:51,,Assessed in person,NULL,NULL,NULL,1,2007/11/08 11:51
2010/02/24 19:40,NULL,264,181837,264,1,2010/02/24 19:40,,Assessed in person,NULL,NULL,NULL,1,2010/02/24 19:40
2007/10/19 17:00,NULL,333,177957,333,1,2007/10/19 17:00,,Assessed in person,NULL,NULL,NULL,1,2007/10/19 17:00
2007/10/11 20:23,NULL,354,176297,354,1,2007/10/11 20:23,,Assessed in person,NULL,NULL,NULL,1,2007/10/11 20:23
2008/01/23 16:21,NULL,333,174046,333,1,2008/01/23 16:21,,Assessed in person,NULL,NULL,NULL,1,2008/01/23 16:21
2008/06/10 21:42,NULL,269,172775,269,1,2008/06/10 21:42,,Assessed in person,NULL,NULL,NULL,1,2008/06/10 21:42
2008/07/11 19:03,NULL,348,172109,348,1,2008/07/11 19:03,,Assessed in person,NULL,NULL,NULL,1,2008/07/11 19:03
2013/07/23 12:01,NULL,276,171746,276,1,2013/07/23 12:01,,Assessed in person,NULL,NULL,NULL,1,2013/07/23 12:01
2007/09/03 18:30,NULL,333,171039,333,1,2007/09/03 18:30,,Assessed in person,NULL,NULL,NULL,1,2007/09/03 18:30
2011/10/03 18:33,NULL,333,170144,333,1,2011/10/03 18:33,,Assessed in person,NULL,NULL,NULL,1,2011/10/03 18:33
2007/10/12 11:34,NULL,44,167506,295,1,2007/10/31 21:10,,Assessed in person,NULL,NULL,NULL,1,2007/10/31 21:10
2008/04/24 16:29,NULL,7,166594,7,1,2008/04/24 16:29,,Assessed in person,NULL,NULL,NULL,1,2008/04/24 16:29
2007/08/10 20:13,NULL,74,166517,162,1,2007/08/10 20:13,,Assessed in person,NULL,NULL,NULL,1,2007/08/10 20:13
2007/09/14 14:48,NULL,351,166350,351,1,2007/09/14 14:48,,Assessed in person,NULL,NULL,NULL,1,2007/09/14 14:48
2008/03/26 16:26,NULL,403,164956,295,1,2008/03/26 16:26,,Assessed in person,NULL,NULL,NULL,1,2008/03/26 16:26
2007/09/20 19:31,NULL,286,164711,295,1,2007/09/20 19:31,,Assessed in person,NULL,NULL,NULL,1,2007/09/20 19:31
2007/08/02 20:43,NULL,333,164502,333,1,2007/08/02 20:43,,Assessed in person,NULL,NULL,NULL,1,2007/08/02 20:43
2007/07/26 12:54,NULL,69,164444,333,1,2007/07/26 12:54,,Assessed in person,NULL,NULL,NULL,1,2007/07/26 12:54
2007/07/18 13:38,NULL,102,164408,102,1,2007/07/18 13:38,,Assessed in person,NULL,NULL,NULL,1,2007/07/18 13:38
